zone_id,zone_type,sector_or_governorate,zone_name_ar,coverage_status,sort_order,delivery_fee_jod,min_order_jod,estimated_minutes,same_day_allowed,is_active,notes,source_file
ZONE-022,قطاع عمّان,غرب عمان,عبدون,available,1,3.0,,,True,True,قطاع عمّان / غرب عمان | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
ZONE-023,قطاع عمّان,غرب عمان,دير غبار,available,2,3.0,,,True,True,قطاع عمّان / غرب عمان | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
ZONE-024,قطاع عمّان,غرب عمان,الصويفية,available,3,3.0,,,True,True,قطاع عمّان / غرب عمان | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
ZONE-025,قطاع عمّان,غرب عمان,أم أذينة,available,4,3.0,,,True,True,قطاع عمّان / غرب عمان | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
ZONE-026,قطاع عمّان,غرب عمان,الرابية,available,5,3.0,,,True,True,قطاع عمّان / غرب عمان | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
ZONE-027,قطاع عمّان,غرب عمان,خلدا,available,6,3.0,,,True,True,قطاع عمّان / غرب عمان | يمكن احتساب 2 د.أ في بعض الحالات وفق تقدير الإدارة. | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
ZONE-028,قطاع عمّان,غرب عمان,تلاع العلي,available,7,3.0,,,True,True,قطاع عمّان / غرب عمان | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
ZONE-029,قطاع عمّان,غرب عمان,الجبيهة,available,8,3.0,,,True,True,قطاع عمّان / غرب عمان | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
ZONE-030,قطاع عمّان,غرب عمان,أم السماق,available,9,3.0,,,True,True,قطاع عمّان / غرب عمان | يمكن احتساب 2 د.أ في بعض الحالات وفق تقدير الإدارة. | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
ZONE-031,قطاع عمّان,غرب عمان,مرج الحمام,available,10,3.0,,,True,True,قطاع عمّان / غرب عمان | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
ZONE-032,قطاع عمّان,غرب عمان,بيادر وادي السير,available,11,3.0,,,True,True,قطاع عمّان / غرب عمان | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
ZONE-085,قطاع عمّان,وسط عمان,الشميساني,available,12,3.0,,,True,True,قطاع عمّان / وسط عمان | اعتماد إداري لأسعار التوصيل بتاريخ 2026-03-24,manual_admin_pricing_2026-03-24
