id,title,description,availability,condition,price,currency,brand,item_group_id,section_ar,category_ar,type_ar,unit_ar,status,publish_to_meta,link,image_link,internal_notes
MY-0001,كيلو ملفوف مطبوخ - بلدي,مطبوخ وجاهز للأكل، يكفي شخصين، الوزن بعد اللف، 27-30 حبة تقريبًا، الحشوة لحم عجل بلدي,in stock,new,8.000 JOD,JOD,مطبخ اليوم,GRP-BF768D45,عالم المحاشي,الملفوف,بلدي,كيلو,ready,yes,https://matbakh-alyoum.site/menu.html#item-MY-0001,https://matbakh-alyoum.site/assets/menu-placeholder.svg,مطبوخ وجاهز للأكل، يكفي شخصين، الوزن بعد اللف، 27-30 حبة تقريبًا، الحشوة لحم عجل بلدي
MY-0002,كيلو ملفوف جاهز للطبخ (غير مطبوخ) - بلدي,غير مطبوخ، الحشوة لحم عجل بلدي,in stock,new,6.000 JOD,JOD,مطبخ اليوم,GRP-0EEA304B,عالم المحاشي,الملفوف,بلدي,كيلو,raw,yes,https://matbakh-alyoum.site/menu.html#item-MY-0002,https://matbakh-alyoum.site/assets/menu-placeholder.svg,غير مطبوخ، الحشوة لحم عجل بلدي
MY-0003,كيلو ورق عنب مطبوخ,مطبوخ وجاهز للأكل، بعد اللف، 60-65 حبة تقريبًا,in stock,new,10.000 JOD,JOD,مطبخ اليوم,GRP-8605516F,عالم المحاشي,ورق العنب,,كيلو,ready,yes,https://matbakh-alyoum.site/menu.html#item-MY-0003,https://matbakh-alyoum.site/assets/menu-placeholder.svg,مطبوخ وجاهز للأكل، بعد اللف، 60-65 حبة تقريبًا
MY-0004,كيلو ورق عنب غير مطبوخ,جاهز للطبخ,in stock,new,8.000 JOD,JOD,مطبخ اليوم,GRP-A2091F84,عالم المحاشي,ورق العنب,,كيلو,raw,yes,https://matbakh-alyoum.site/menu.html#item-MY-0004,https://matbakh-alyoum.site/assets/menu-placeholder.svg,جاهز للطبخ
MY-0005,كيلو كوسا مطبوخ,مطبوخ وجاهز للأكل، 10-12 حبة تقريبًا، حجم وسط,in stock,new,6.000 JOD,JOD,مطبخ اليوم,GRP-DA91738F,عالم المحاشي,الكوسا,,كيلو,ready,yes,https://matbakh-alyoum.site/menu.html#item-MY-0005,https://matbakh-alyoum.site/assets/menu-placeholder.svg,مطبوخ وجاهز للأكل، 10-12 حبة تقريبًا، حجم وسط
MY-0006,كيلو كوسا غير مطبوخ,جاهز للطبخ، 10-12 حبة تقريبًا، حجم وسط,in stock,new,5.000 JOD,JOD,مطبخ اليوم,GRP-DCD48872,عالم المحاشي,الكوسا,,كيلو,raw,yes,https://matbakh-alyoum.site/menu.html#item-MY-0006,https://matbakh-alyoum.site/assets/menu-placeholder.svg,جاهز للطبخ، 10-12 حبة تقريبًا، حجم وسط
MY-0007,كيلو باذنجان مطبوخ,مطبوخ وجاهز للأكل، 10-12 حبة تقريبًا، حجم وسط,in stock,new,6.000 JOD,JOD,مطبخ اليوم,GRP-514EF6E1,عالم المحاشي,الباذنجان,,كيلو,ready,yes,https://matbakh-alyoum.site/menu.html#item-MY-0007,https://matbakh-alyoum.site/assets/menu-placeholder.svg,مطبوخ وجاهز للأكل، 10-12 حبة تقريبًا، حجم وسط
MY-0008,كيلو باذنجان غير مطبوخ,جاهز للطبخ، 10-12 حبة تقريبًا، حجم وسط,in stock,new,5.000 JOD,JOD,مطبخ اليوم,GRP-EB6157C0,عالم المحاشي,الباذنجان,,كيلو,raw,yes,https://matbakh-alyoum.site/menu.html#item-MY-0008,https://matbakh-alyoum.site/assets/menu-placeholder.svg,جاهز للطبخ، 10-12 حبة تقريبًا، حجم وسط
MY-0009,العرض الأول – ورق عنب + كوسا + 4 ريش - عروض الريش - روماني,1 كيلو ورق عنب + 1 كيلو كوسا + 4 ريش + خيار باللبن، يكفي 3-4 أشخاص,in stock,new,25.000 JOD,JOD,مطبخ اليوم,GRP-C8C063D9,العروض المجمعة,عروض الريش,روماني,عرض,bundle,yes,https://matbakh-alyoum.site/menu.html#item-MY-0009,https://matbakh-alyoum.site/assets/menu-placeholder.svg,1 كيلو ورق عنب + 1 كيلو كوسا + 4 ريش + خيار باللبن، يكفي 3-4 أشخاص
MY-0010,العرض الثاني – ورق عنب + كوسا + 3 ريش - عروض الريش - روماني,نصف كيلو ورق عنب + نصف كيلو كوسا + 3 ريش + خيار باللبن، يكفي شخصين,in stock,new,14.000 JOD,JOD,مطبخ اليوم,GRP-21F0D08F,العروض المجمعة,عروض الريش,روماني,عرض,bundle,yes,https://matbakh-alyoum.site/menu.html#item-MY-0010,https://matbakh-alyoum.site/assets/menu-placeholder.svg,نصف كيلو ورق عنب + نصف كيلو كوسا + 3 ريش + خيار باللبن، يكفي شخصين
MY-0011,العرض الأول – ورق عنب + كوسا + 4 ريش - عروض الريش - بلدي,1 كيلو ورق عنب + 1 كيلو كوسا + 4 ريش + خيار باللبن، يكفي 3-4 أشخاص,in stock,new,30.000 JOD,JOD,مطبخ اليوم,GRP-C8C063D9,العروض المجمعة,عروض الريش,بلدي,عرض,bundle,yes,https://matbakh-alyoum.site/menu.html#item-MY-0011,https://matbakh-alyoum.site/assets/menu-placeholder.svg,1 كيلو ورق عنب + 1 كيلو كوسا + 4 ريش + خيار باللبن، يكفي 3-4 أشخاص
